FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,WORKDAY_OPER_TIME_DC,WKEND_OPER_TIME_DC,FRE_PARKNG_AT,VALET_PARKNG_POSBL_AT,INFN_CHAIR_LEND_POSBL_AT,WCHAIR_HOLD_AT,PET_POSBL_AT,VGTR_MENU_HOLD_AT,HALAL_FOOD_HOLD_AT,GFRE_FOOD_HOLD_AT,LAST_UPDT_DE
이태리파스토,음식점/유흥시설,유럽음식,이탈리아,경기도,용인시 처인구,역북동,,755-1 번지,명지로40번길,15-17,37.23104,127.186665,17056,경기도 용인시 처인구 명지로40번길 15-17,경기도 용인시 처인구 역북동  755-1,07087442222,,,N,N,N,N,N,N,N,N,20221130
이태리한식당,음식점/유흥시설,유럽음식,이탈리아,경기도,시흥시,조남동,,721 번지,수풀안길,19-30,37.379347,126.864158,14986,경기도 시흥시 수풀안길 19-30,경기도 시흥시 조남동  721,050713821372,월-금 11시-22시,토-일 11시-22시,Y,N,N,N,N,N,N,N,20221130
이태리회관,음식점/유흥시설,유럽음식,이탈리아,경상남도,남해군,상주면,상주리,1289 번지,남해대로697번길,42,34.720985,127.985297,52440,경상남도 남해군 남해대로697번길 42,경상남도 남해군 상주면 상주리 1289,,"월,화,금 10시-17시","토 10시-19시, 일 10시-18시",Y,N,N,N,N,N,N,N,20221130
이태원더버거,음식점/유흥시설,북미음식,미국,인천광역시,연수구,송도동,,168-1 번지,송도국제대로,123,37.381629,126.657917,21984,인천광역시 연수구 송도국제대로 123,인천광역시 연수구 송도동 168-1 현대프리미엄 아울렛 송도점,0327272150,,,N,N,N,N,N,Y,N,N,20221130
이태원우육미엔,음식점/유흥시설,동남아시아음식,기타,서울특별시,용산구,한남동,,741-17 번지,이태원로55가길,26-8,37.537524,126.999907,04348,서울특별시 용산구 이태원로55가길 26-8,서울특별시 용산구 한남동  741-17,027985556,월-금 11시-21시,토-일 11시-21시,Y,N,N,N,N,N,N,N,20221130
이태원키친,음식점/유흥시설,동남아시아음식,기타,서울특별시,용산구,이태원동,,137-56 번지,우사단로,34,37.533215,126.995701,04405,서울특별시 용산구 우사단로 34,서울특별시 용산구 이태원동  137-56,050713262468,월-금 11시-24시,토-일 11시-24시,N,N,N,N,N,N,N,N,20221130
이터스 롯데월드몰점,음식점/유흥시설,남미음식,멕시코,서울특별시,송파구,신천동,,29 번지,올림픽로,300,37.514236,127.104654,05551,서울특별시 송파구 올림픽로 300,서울특별시 송파구 신천동  29,0232132844,"월-금 10시30분-22시,월-금 10시30분-21시",토-일 10시30분-22시,Y,N,N,N,N,N,N,N,20221130
이터스 롯데타임빌라스점,음식점/유흥시설,남미음식,멕시코,경기도,의왕시,학의동,,1039 번지,바라산로,1,37.375414,127.008582,16016,경기도 의왕시 바라산로 1,경기도 의왕시 학의동  1039,0313291787,"월-금 10시30분-21시,월-금 10시30분-21시",토-일 10시30분-21시,Y,N,N,N,N,N,N,N,20221130
이퓨레,음식점/유흥시설,유럽음식,이탈리아,서울특별시,도봉구,도봉동,,597-20 번지,도봉로169나길,40,37.677942,127.043573,01307,서울특별시 도봉구 도봉로169나길 40,서울특별시 도봉구 도봉동  597-20,050714100323,월-금 11시-21시30분,토-일 11시-21시30분,N,N,N,N,N,N,N,N,20221130
이플로네의하루,음식점/유흥시설,유럽음식,이탈리아,서울특별시,마포구,서교동,,334-18 번지,와우산로29라길,21,37.554872,126.926944,04053,서울특별시 마포구 와우산로29라길 21,서울특별시 마포구 서교동  334-18,050714321882,"수 12시-22시 목,금 11시30분-22시","토 11시30분-22시,일 11시30분-21시",N,N,N,N,N,N,N,N,20221130
이화원,음식점/유흥시설,동아시아음식,중국,경기도,성남시 분당구,정자동,,180 번지,정자일로,100,37.358735,127.107488,13562,경기도 성남시 분당구 정자일로 100,경기도 성남시 분당구 정자동 180 미켈란쉐르빌,0317820999,월-금 11시-21시,토 11시-21시,N,N,N,N,N,N,N,N,20221130
이화원,음식점/유흥시설,동아시아음식,중국,경상남도,남해군,상주면,상주리,1608-6 번지,상주로74번길,3-4,34.718495,127.982877,52440,경상남도 남해군 상주면 상주로74번길 3-4,경상남도 남해군 상주면 상주리 1608-6,0558631101,월-금 11시-20시,토-일 11시-20시,Y,N,N,N,N,N,N,N,20221130
